許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,舊證字號,通關簽審文件編號,中文品名,英文品名,適應症,劑型,包裝,藥品類別,管制藥品分類級別,主成分略述,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠公司地址,製造廠國別,製程,異動日期,用法用量,包裝與國際條碼
"衛部藥輸字第028545號","","","","2028/08/14","2023/08/14","原料藥","","DHA05202854502","卡利索普若多","Carisoprodol","骨骼肌弛緩劑","（粉）","０．５公斤以上","","","","新雙隆生技股份有限公司","台北市松山區復興北路369號14樓","25140632","VERDANT LIFE SCIENCES PVT. LIMITED","PLOT NO. 55, JAWAHARLAL NEHRU PHARMA CITY, PARAWADA(M), VISAKHAPATNAM DISTRICT, ANDHRA PRADESH, INDIA.","","IN","","2023/09/07","製劑原料",""
"衛部藥輸字第028546號","","","","2028/09/15","2023/09/15","製　劑","","DHA05202854604","康紓維(柳菩林)42毫克注射乳劑","CAMCEVI (Leuprolide) injectable emulsion, 42 mg","用於晚期攝護腺癌紓解治療，以及併用放射療法治療高風險局部和局部晚期荷爾蒙依賴型攝護腺癌。","注射乳劑","盒裝","","","Leuprolide mesylate","逸達生物科技股份有限公司","臺北市南港區三重路19-3號9樓之2","54165507","STERIGENICS BELGIUM","ZONING INDUSTRIEL, AVENUE DE L' ESPERANCE, FLEURUS, HAINAUT, B-6220, BELGIUM","","BE","滅菌廠;;成品及包裝廠","2025/05/05","詳見仿單",""
"衛部藥輸字第028546號","","","","2028/09/15","2023/09/15","製　劑","","DHA05202854604","康紓維(柳菩林)42毫克注射乳劑","CAMCEVI (Leuprolide) injectable emulsion, 42 mg","用於晚期攝護腺癌紓解治療，以及併用放射療法治療高風險局部和局部晚期荷爾蒙依賴型攝護腺癌。","注射乳劑","盒裝","","","Leuprolide mesylate","逸達生物科技股份有限公司","臺北市南港區三重路19-3號9樓之2","54165507","FAREVA PAU","Fareva PAU 1 Avenue du Bearn, 64320 Idron, France","","FR","滅菌廠;;成品及包裝廠","2025/05/05","詳見仿單",""
"衛部藥輸字第028547號","","","","2028/08/15","2023/08/15","原料藥","","DHA05202854706","撻伐熄靶泊檸檬酸鹽","Tofacitinib Citrate","免疫抑制劑","（粉）","0.5公斤以上裝","","","","台灣荃新股份有限公司","台北市中正區羅斯福路二段11號3樓","70654116","MSN Laboratories Private Limited","Sy. No. 317, 320, 321, 322, 323, 604 & 605, Rudraram (Village), Patancheru (Mandal), Sangareddy District, Telangana, Pincode: 502 329, India","","IN","","2023/09/26","製劑原料",""
"衛部藥輸字第028552號","","","","2028/08/16","2023/08/16","原料藥","","DHA05202855202","環丙烯脂汀鈣鹽水合物","Pitavastatin Calcium Hydrate (Pentahydrate)","血脂調節劑","（粉）","0.5公斤以上裝","","","","中大藥品股份有限公司","台南市中西區民權路二段158號3樓","68076202","KOLON LIFE SCIENCE, INC.","54, GIEOPDOSI 1-RO DAESOWON-MYEON, CHUNGJU-SI, CHUNGCHEONGBUK-DO, KOREA","","KR","","2023/09/26","製劑原料",""
"衛部藥輸字第028553號","","","","2028/08/15","2023/08/15","原料藥","","DHA05202855301","乾燥維生素E 50% CWS/S Ph","Dry Vitamin E 50% CWS/S Ph","維生素E缺乏症治療","粉劑","0.5公斤以上裝","","","","帝斯曼營養品股份有限公司","台北市士林區中山北路六段90號3樓","70576484","DSM NUTRITIONAL PRODUCTS LTD BRANCH SITE SISSELN","HAUPTSTRASSE 4 CH-4334 SISSELN SWITZERLAND","HAUPTSTRASSE 4, CH-4334, SISSELN, SWITZERLAND","CH","","2023/09/07","製劑原料",""
"衛部藥輸字第028554號","","","","2028/10/20","2023/10/20","製　劑","","DHA05202855403","舒停復膜衣錠6毫克","SOTYKTU film-coated tablets 6mg","適用於治療適合全身性療法或光照療法的中度至重度成人斑塊型乾癬。","膜衣錠","鋁箔盒裝","","","Deucravacitinib","台灣必治妥施貴寶股份有限公司","臺北市松山區健康路156號4樓、5樓","11922609","Patheon Inc.","2100 Syntex Court, Mississauga, Ontario L5N 7K9, Canada","","CA","包裝;;成品製造廠","2023/12/01","詳見仿單",""
"衛部藥輸字第028554號","","","","2028/10/20","2023/10/20","製　劑","","DHA05202855403","舒停復膜衣錠6毫克","SOTYKTU film-coated tablets 6mg","適用於治療適合全身性療法或光照療法的中度至重度成人斑塊型乾癬。","膜衣錠","鋁箔盒裝","","","Deucravacitinib","台灣必治妥施貴寶股份有限公司","臺北市松山區健康路156號4樓、5樓","11922609","CATALENT ANAGNI S.R.L.","Localita’Fontana del Ceraso snc, Strada Provinciale 12 Casilina, 41, Anagni (FR), 03012 Italy","","IT","包裝;;成品製造廠","2023/12/01","詳見仿單",""
"衛部藥輸字第028555號","","","","2028/09/05","2023/09/05","製　劑","","DHA05202855505","欣覓力20毫克膜衣錠","Scemblix 20mg Film-Coated Tablets","１、治療新診斷的慢性期費城染色體陽性之慢性骨髓性白血病(Ph+CML-CP)成人病人。２、治療曾接受酪胺酸激酶抑制劑治療的慢性期費城染色體陽性之慢性骨髓性白血病(Ph+CML-CP)成人病人。３、治療慢性期費城染色體陽性且帶有T315I突變之慢性骨髓性白血病(Ph+CML-CP with T315I mutation)成人病人。","膜衣錠","塑膠瓶裝(HDPE)","","","Asciminib hydrochloride","台灣諾華股份有限公司","臺北市中山區民生東路3段2號8樓","01516589","裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","","TW","二級包裝廠;;成品製造廠;;分包裝廠","2025/10/28","詳見仿單。",""
"衛部藥輸字第028555號","","","","2028/09/05","2023/09/05","製　劑","","DHA05202855505","欣覓力20毫克膜衣錠","Scemblix 20mg Film-Coated Tablets","１、治療新診斷的慢性期費城染色體陽性之慢性骨髓性白血病(Ph+CML-CP)成人病人。２、治療曾接受酪胺酸激酶抑制劑治療的慢性期費城染色體陽性之慢性骨髓性白血病(Ph+CML-CP)成人病人。３、治療慢性期費城染色體陽性且帶有T315I突變之慢性骨髓性白血病(Ph+CML-CP with T315I mutation)成人病人。","膜衣錠","塑膠瓶裝(HDPE)","","","Asciminib hydrochloride","台灣諾華股份有限公司","臺北市中山區民生東路3段2號8樓","01516589","NOVARTIS PHARMA STEIN AG","SCHAFFHAUSERSTRASSE CH-4332 STEIN, SWITZERLAND","CH-4002,BASEL,SWITZERLAND","CH","二級包裝廠;;成品製造廠;;分包裝廠","2025/10/28","詳見仿單。",""
